species_id,common_name,image_count,target_image_count,description,folder_path
72486,Egyptian Goose,27,27,"The Egyptian goose (Egyptian Goose) is a member of the duck, goose, and swan family Anatidae. It is native to Africa south of the Sahara and the Nile Valley.",/kaggle/input/ugbirds/birdsuganda/image/Egyptian_Goose
14588,Common Bulbul,25,25,"The common bulbul (Common Bulbul) is a member of the bulbul family of passerine birds. It is found in north-eastern, northern, western and central Africa.",/kaggle/input/ugbirds/birdsuganda/image/Common_Bulbul
3743,Hadada Ibis,25,25,"The hadada or hadeda ibis (Hadada Ibis), is an ibis found in Sub-Saharan Africa.",/kaggle/input/ugbirds/birdsuganda/image/Hadada_Ibis
1428,Helmeted Guineafowl,30,30,"The helmeted guineafowl (Helmeted Guineafowl) is the best known of the guineafowl bird family, Numididae, and the only member of the genus Numida. It is native to Africa, mainly south of the Sahara, and has been widely introduced into the West Indies, Brazil, Australia and Europe (e.g. southern France).",/kaggle/input/ugbirds/birdsuganda/image/Helmeted_Guineafowl
1455922,Laughing Dove,32,32,"The laughing dove (Laughing Dove) is a small pigeon that is a resident breeder in Africa, the Middle East, South Asia, and Western Australia where it has established itself in the wild after being released from Perth Zoo in 1898. This small long-tailed dove is found in dry scrub and semi-desert habitats where pairs can often be seen feeding on the ground. It is closely related to the spotted dove (Spilopelia chinensis) which is distinguished by...",/kaggle/input/ugbirds/birdsuganda/image/Laughing_Dove
4870,Blacksmith Lapwing,32,32,"The blacksmith lapwing or blacksmith plover (Blacksmith Lapwing) occurs commonly from Kenya through central Tanzania to southern and southwestern Africa. The vernacular name derives from the repeated metallic 'tink, tink, tink' alarm call, which suggests a blacksmith's hammer striking an anvil.",/kaggle/input/ugbirds/birdsuganda/image/Blacksmith_Lapwing
4954,Grey Heron,31,31,"The grey heron (Grey Heron) is a long-legged predatory wading bird of the heron family, Ardeidae, native throughout temperate Europe and Asia and also parts of Africa. It is resident in much of its range, but some populations from the more northern parts migrate southwards in autumn. A bird of wetland areas, it can be seen around lakes, rivers, ponds, marshes and on the sea coast. It feeds mostly on aquatic creatures which it catches after...",/kaggle/input/ugbirds/birdsuganda/image/Grey_Heron
411086,Western Cattle-Egret,32,32,"The cattle egret (Bubulcus ibis) is a cosmopolitan species of heron (family Ardeidae) found in the tropics, subtropics and warm temperate zones. It is the only member of the monotypic genus Bubulcus, although some authorities regard two of its subspecies as full species, the western cattle egret and the eastern cattle egret. Despite the similarities in plumage to the egrets of the genus Egretta, it is more closely related to the herons of Ardea. Originally native...",/kaggle/input/ugbirds/birdsuganda/image/Western_Cattle-Egret
20526,Common Ostrich,31,31,"The ostrich or common ostrich (Common Ostrich) is either one or two species of large flightless birds native to Africa, the only living member(s) of the genus Struthio, which is in the ratite family. In 2014, the Somali ostrich (Struthio molybdophanes) was recognized as a distinct species.",/kaggle/input/ugbirds/birdsuganda/image/Common_Ostrich
1505670,African Fish-Eagle,27,27,"The African fish eagle (African Fish-Eagle) or the African sea eagle is a large species of eagle found throughout sub-Saharan Africa wherever large bodies of open water with an abundant food supply occur. It is the national bird of Malawi, Namibia, Zambia, and Zimbabwe. As a result of its large range, it is known in many languages. Examples of names include: Vis Arend in Afrikaans, nkwazi in Chewa, aigle pêcheur in French, hungwe in Shona, inkwazi...",/kaggle/input/ugbirds/birdsuganda/image/African_Fish-Eagle
8268,Fork-tailed Drongo,24,24,"The fork-tailed drongo, also called the common drongo, African drongo, or savanna drongo (Fork-tailed Drongo), is a species of drongo in the family Dicruridae, which are medium-sized passerine birds of the Old World. It is native to the tropics, subtropics and temperate zones of the Afrotropics. Its range was formerly considered to include Asia, but the Asian species is now called the black drongo (Dicrurus macrocercus).",/kaggle/input/ugbirds/birdsuganda/image/Fork-tailed_Drongo
2988,Red-eyed Dove,31,31,"The red-eyed dove (Red-eyed Dove) is a pigeon which is a widespread resident breeding bird in Africa south of the Sahara. It is a common, if not abundant, species in most habitats other than desert.",/kaggle/input/ugbirds/birdsuganda/image/Red-eyed_Dove
508246,Reed Cormorant,28,28,"The reed cormorant (Reed Cormorant), also known as the long-tailed cormorant, is a bird in the cormorant family Phalacrocoracidae. It breeds in much of Africa south of the Sahara, and Madagascar. It is resident but undertakes some seasonal movements.",/kaggle/input/ugbirds/birdsuganda/image/Reed_Cormorant
3739,African Sacred Ibis,30,30,The African sacred ibis (African Sacred Ibis) is a species of ibis. Its sister species is the Australian white ibis.,/kaggle/input/ugbirds/birdsuganda/image/African_Sacred_Ibis
13804,Southern Masked Weaver,32,32,The southern masked weaver or African masked weaver (Southern Masked Weaver) is a resident breeding bird species common throughout southern Africa.,/kaggle/input/ugbirds/birdsuganda/image/Southern_Masked_Weaver
204531,Southern Fiscal,22,22,The southern fiscal or fiscal shrike (Southern Fiscal) is a member of the shrike family found through most of Sub-Saharan Africa. It is also sometimes named jackie hangman or butcher bird due to its habit of impaling its prey on acacia thorns to store the food for later consumption. It was previously lumped together with the northern fiscal (Lanius humeralis). Together they were known as the common fiscal.,/kaggle/input/ugbirds/birdsuganda/image/Southern_Fiscal
2662,Pied Kingfisher,28,28,"The pied kingfisher (Pied Kingfisher) is a water kingfisher and is found widely distributed across Africa and Asia. Originally described by Linnaeus in 1758, it has five recognised subspecies. Its black and white plumage, crest and the habit of hovering over clear lakes and rivers before diving for fish make it distinctive. Males have a double band across the breast while females have a single gorget that is often broken in the middle. They are usually...",/kaggle/input/ugbirds/birdsuganda/image/Pied_Kingfisher
4972,Black-headed Heron,23,23,"The black-headed heron (Black-headed Heron) is a wading bird of the heron family Ardeidae, common throughout much of sub-Saharan Africa and Madagascar. It is mainly resident, but some west African birds move further north in the rainy season.",/kaggle/input/ugbirds/birdsuganda/image/Black-headed_Heron
5268,Black Kite,29,29,"The black kite (Black Kite) is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors. It is thought to be the world's most abundant species of Accipitridae, although some populations have experienced dramatic declines or fluctuations. Current global population estimates run up to 6 million individuals. Unlike others of the group, black kites are opportunistic hunters and are more likely to scavenge. They spend a lot of time soaring",/kaggle/input/ugbirds/birdsuganda/image/Black_Kite
4943,Little Egret,28,28,"The little egret (Little Egret) is a species of small heron in the family Ardeidae. The genus name comes from the Provençal French Aigrette, ""egret"", a diminutive of Aigron,"" heron"". The species epithet garzetta is from the Italian name for this bird, garzetta or sgarzetta.",/kaggle/input/ugbirds/birdsuganda/image/Little_Egret
2269,Lilac-breasted Roller,23,23,"The lilac-breasted roller (Lilac-breasted Roller) is an African member of the roller family of birds. It is widely distributed in sub-Saharan Africa and the southern Arabian Peninsula, preferring open woodland and savanna; it is largely absent from treeless places. Usually found alone or in pairs, it perches conspicuously at the tops of trees, poles or other high vantage points from where it can spot insects, lizards, scorpions, snails, small birds and rodents moving about at ground...",/kaggle/input/ugbirds/birdsuganda/image/Lilac-breasted_Roller
8038,Pied Crow,26,26,The pied crow (Pied Crow) is a widely distributed African bird species in the crow genus.,/kaggle/input/ugbirds/birdsuganda/image/Pied_Crow
4270,Great Cormorant,25,25,"The great cormorant (Great Cormorant), known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, the large cormorant in India and the black shag further south in New Zealand, is a widespread member of the cormorant family of seabirds. The genus name is Latinised Ancient Greek, from φαλακρός (phalakros, ""bald"") and κόραξ (korax, ""raven""), and carbo is Latin for ""charcoal"".",/kaggle/input/ugbirds/birdsuganda/image/Great_Cormorant
5363,White-backed Vulture,25,25,"The white-backed vulture (White-backed Vulture) is an Old World vulture in the family Accipitridae, which also includes eagles, kites, buzzards and hawks. It is closely related to the European griffon vulture, G. fulvus. Sometimes it is called African white-backed vulture to distinguish it from the Oriental white-backed vulture — nowadays usually called white-rumped vulture — to which it was formerly believed to be closely related.",/kaggle/input/ugbirds/birdsuganda/image/White-backed_Vulture
13699,Cape Wagtail,27,27,"The Cape wagtail, also known as Wells's wagtail, (Cape Wagtail) is a small African passerine bird in the family Motacillidae, which includes the wagtails, pipits and longclaws.",/kaggle/input/ugbirds/birdsuganda/image/Cape_Wagtail
3036,Speckled Pigeon,30,30,"The speckled pigeon (Speckled Pigeon), or (African) rock pigeon, is a pigeon that is a resident breeding bird in much of Africa south of the Sahara. It is a common and widespread species in open habitats over much of its range, although there are sizable gaps in its distribution.",/kaggle/input/ugbirds/birdsuganda/image/Speckled_Pigeon
4388,Kelp Gull,22,22,"The  kelp gull (Kelp Gull), also known as the Dominican gull, is a gull which breeds on coasts and islands through much of the Southern Hemisphere. The nominate L. d. dominicanus is the subspecies found around South America, parts of Australia (where it overlaps with the Pacific gull), and New Zealand (where it is known as the southern black-backed gull, simply the black-backed gull, or by its Māori name karoro). L. d. vetula (known as...",/kaggle/input/ugbirds/birdsuganda/image/Kelp_Gull
13853,Cape Sparrow,29,29,"The Cape sparrow or mossie (Cape Sparrow) is a bird of the sparrow family Passeridae found in southern Africa. A medium-sized sparrow at 14–16 centimetres (5.5–6.3 in), it has distinctive plumage, including large pale head stripes in both sexes. Its plumage is mostly coloured grey, brown, and chestnut, and the male has some bold black and white markings on its head and neck. The species inhabits semi-arid savannah, cultivated areas, and towns, and ranges from the central...",/kaggle/input/ugbirds/birdsuganda/image/Cape_Sparrow
13858,House Sparrow,22,22,"The house sparrow (House Sparrow) is a bird of the sparrow family Passeridae, found in most parts of the world. A small bird, it has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of about 25 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin,...",/kaggle/input/ugbirds/birdsuganda/image/House_Sparrow
204554,Red-winged Starling,25,25,"The red-winged starling (Red-winged Starling) is a bird of the starling family Sturnidae native to eastern Africa from Ethiopia to the Cape in South Africa. It is known in Afrikaans as the rooivlerkspreeu, and as iSomi in Xhosa and Zulu.",/kaggle/input/ugbirds/birdsuganda/image/Red-winged_Starling
13801,Cape Weaver,29,29,"The Cape weaver (Cape Weaver) is a resident breeding weaver of Southern Africa, it is almost endemic to South Africa.",/kaggle/input/ugbirds/birdsuganda/image/Cape_Weaver
3704,Speckled Mousebird,30,30,"The speckled mousebird (Speckled Mousebird) is the largest species of mousebird, as well as one of the most common.",/kaggle/input/ugbirds/birdsuganda/image/Speckled_Mousebird
13796,Village Weaver,33,33,"The village weaver (Village Weaver), also known as the spotted-backed weaver or black-headed weaver (the latter leading to easy confusion with P. melanocephalus), is a species of bird found in much of sub-Saharan Africa. It has also been introduced to Hispaniola, Mauritius and Réunion.",/kaggle/input/ugbirds/birdsuganda/image/Village_Weaver
4835,Black-winged Stilt,30,30,The black-winged stilt (Black-winged Stilt) is a widely distributed very long-legged wader in the avocet and stilt family (Recurvirostridae). It is now widely accepted that the scientific name H. himantopus which was formerly applied to a single almost cosmopolitan species and is now normally applied to the widespread form from Eurasia and Africa which was formerly regarded as the nominate subspecies of Black-winged Stilt sensu lato. The scientific name Himantopus comes from the Greek mean,/kaggle/input/ugbirds/birdsuganda/image/Black-winged_Stilt
20969,Common Hoopoe,29,29,"The Eurasian hoopoe (Common Hoopoe) is the most widespread species of the genus Upupa, native to Europe, Asia and the northern half of Africa.",/kaggle/input/ugbirds/birdsuganda/image/Common_Hoopoe
1585912,Cape Robin-Chat,28,28,The Cape robin-chat (Cape Robin-Chat) is a small passerine bird of the Old World flycatcher family Muscicapidae. It has a disjunct range from South Sudan to South Africa.,/kaggle/input/ugbirds/birdsuganda/image/Cape_Robin-Chat
201031,Marabou Stork,27,27,"The marabou stork (Marabou Stork) is a large wading bird in the stork family Ciconiidae. It breeds in Africa south of the Sahara, in both wet and arid habitats, often near human habitation, especially landfill sites. It is sometimes called the ""undertaker bird"" due to its shape from behind: cloak-like wings and back, skinny white legs, and sometimes a large white mass of ""hair"".",/kaggle/input/ugbirds/birdsuganda/image/Marabou_Stork
145157,Southern Double-collared Sunbird,26,26,"The southern double-collared sunbird or lesser double-collared sunbird (Southern Double-collared Sunbird) (formerly placed in the genus Nectarinia), is a small passerine bird which breeds in southern Africa. It is mainly resident, but partially migratory in the north-east of its range.",/kaggle/input/ugbirds/birdsuganda/image/Southern_Double-collared_Sunbird
13962,Southern Red Bishop,32,32,"The southern red bishop or red bishop (Southern Red Bishop) is a small passerine bird belonging to the bishop and widowbird genus Euplectes in the weaver family, the Ploceidae. It is common in wetlands and grassland in Africa south of the Equator. North of the Equator, it is replaced by the northern red bishop or orange bishop (E. franciscanus) which was formerly regarded as a subspecies of this species.",/kaggle/input/ugbirds/birdsuganda/image/Southern_Red_Bishop
487,Red-knobbed Coot,24,24,"The red-knobbed coot or crested coot, (Red-knobbed Coot), is a member of the rail and crake bird family, the Rallidae.",/kaggle/input/ugbirds/birdsuganda/image/Red-knobbed_Coot
2959,Ring-necked Dove,22,22,"The ring-necked dove (Ring-necked Dove), also known as the Cape turtle dove or half-collared dove, is a widespread and often abundant dove species in East and southern Africa. It is a mostly sedentary bird, found in a catholic variety of open habitats. Within range, its penetrating and rhythmic, three-syllabled crooning is a familiar sound at any time of the year. Its name is derived from the semi-collar of black feathers on the lower nape, a feature...",/kaggle/input/ugbirds/birdsuganda/image/Ring-necked_Dove
2346,Brown-hooded Kingfisher,27,27,"The brown-hooded kingfisher (Brown-hooded Kingfisher) is a species of bird in the subfamily Halcyoninae. It is found in Angola, Botswana, Republic of the Congo, Democratic Republic of the Congo, Gabon, Kenya, Malawi, Mozambique, Namibia, Somalia, South Africa, Swaziland, Tanzania, Zambia, and Zimbabwe.",/kaggle/input/ugbirds/birdsuganda/image/Brown-hooded_Kingfisher
6965,Yellow-billed Duck,24,24,The yellow-billed duck (Yellow-billed Duck) is a 51–58 cm long dabbling duck which is an abundant resident breeder in southern and eastern Africa.,/kaggle/input/ugbirds/birdsuganda/image/Yellow-billed_Duck
3834,Hamerkop,32,32,"The hamerkop (Hamerkop), is a medium-sized wading bird. It is the only living species in the genus Scopus and the family Scopidae. The shape of its head with a long bill and crest at the back is reminiscent of a hammer, which has given this species its name. It is found in Africa, Madagascar to Arabia, living in a wide variety of wetlands, including estuaries, lakesides, fish ponds, riverbanks and rocky coasts. The hamerkop, which...",/kaggle/input/ugbirds/birdsuganda/image/Hamerkop
4585,African Jacana,27,27,"The African jacana (African Jacana) is a wader in the family Jacanidae, identifiable by long toes and long claws that enable them to walk on floating vegetation in shallow lakes, their preferred habitat. Jacanas are found worldwide within the tropical zone, and this species is found in sub-saharan Africa. For the origin and pronunciation of the name, see jacana.",/kaggle/input/ugbirds/birdsuganda/image/African_Jacana
5066,African Darter,25,25,"The African darter (African Darter), sometimes called the snakebird, is a water bird of sub-Saharan Africa and Iraq.",/kaggle/input/ugbirds/birdsuganda/image/African_Darter
5079,Tawny Eagle,22,22,"The tawny eagle (Tawny Eagle) is a large, long-lived bird of prey. Like all eagles, it belongs to the family Accipitridae. Its heavily feathered legs illustrate it to be a member of the subfamily Aquilinae, also known as “booted eagles”. Tawny eagles have an extensive but discontinuous breeding range that constitutes much of the African continent as well as the Indian subcontinent, with rare residency occurring in the southern Middle East. Throughout its range, it favours",/kaggle/input/ugbirds/birdsuganda/image/Tawny_Eagle
472770,Cape White-eye,33,33,The Cape white-eye (Cape White-eye) is a small passerine bird in the white-eye family. It is native to southern Africa.,/kaggle/input/ugbirds/birdsuganda/image/Cape_White-eye
2185,Little Bee-eater,24,24,"The little bee-eater (Little Bee-eater) is a near passerine bird in the bee-eater family Meropidae. It is resident in much of Sub-Saharan Africa. It should not be confused with the little green bee-eater, Merops orientalis. Migration is limited to seasonal movements depending on rainfall patterns.",/kaggle/input/ugbirds/birdsuganda/image/Little_Bee-eater
201282,Common Moorhen,33,33,The common moorhen (Common Moorhen) (also known as the waterhen and as the swamp chicken) is a bird species in the family Rallidae. It is distributed across many parts of the Old World.,/kaggle/input/ugbirds/birdsuganda/image/Common_Moorhen
5275,Black-winged Kite,32,32,"The black-winged kite (Black-winged Kite) is a small diurnal bird of prey in the family Accipitridae best known for its habit of hovering over open grasslands in the manner of the much smaller kestrels. This Eurasian and African species was sometimes combined with the Australian black-shouldered kite (Elanus axillaris) and the white-tailed kite (Elanus leucurus) of North and South America which together form a superspecies. This kite is distinctive, with long-wings, white, grey and black plumage.",/kaggle/input/ugbirds/birdsuganda/image/Black-winged_Kite
13251,Fiscal Flycatcher,31,31,"The fiscal flycatcher (Melaenornis silens) is a small passerine bird in the Old World flycatcher family. It is a resident breeder in Botswana, South Africa, Lesotho, Mozambique and Swaziland, and a vagrant to Namibia.",/kaggle/input/ugbirds/birdsuganda/image/Fiscal_Flycatcher
14930,Cape Starling,24,24,"The Cape starling, red-shouldered glossy-starling or Cape glossy starling (Cape Starling) is a species of starling in the family Sturnidae. It is found in southern Africa, where it lives in woodlands, bushveld and in suburbs.",/kaggle/input/ugbirds/birdsuganda/image/Cape_Starling
73222,Greater Flamingo,32,32,"The greater flamingo (Greater Flamingo) is the most widespread species of the flamingo family. It is found in Africa, on the Indian subcontinent, in the Middle East and southern Europe.",/kaggle/input/ugbirds/birdsuganda/image/Greater_Flamingo
55371,African Stonechat,22,22,"The African stonechat or common stonechat (African Stonechat) is a species of the Old World flycatcher family (Muscicapidae), inhabiting sub-Saharan Africa and adjacent regions. Like the other chats, it was long assigned to the thrush family (Turdidae), to which the chats are convergent. Its scientific name refer to its appearance and habitat and means ""collared rock-dweller"": Saxicola from Latin saxum (""rock"") + incola (""one who dwells in a place""), torquatus, Latin for ""collared"".",/kaggle/input/ugbirds/birdsuganda/image/African_Stonechat
4744,Yellow-billed Stork,25,25,"The yellow-billed stork (Yellow-billed Stork), sometimes also called the wood stork or wood ibis, is a large African wading stork species in the family Ciconiidae. It is widespread in regions south of the Sahara and also occurs in Madagascar.",/kaggle/input/ugbirds/birdsuganda/image/Yellow-billed_Stork
980204,Familiar Chat,31,31,"The familiar chat (Familiar Chat), is a small passerine bird of the Old World flycatcher family Muscicapidae. It is a common resident breeder in Africa south of the Sahara in rocky and mountainous habitat and around human habitation.",/kaggle/input/ugbirds/birdsuganda/image/Familiar_Chat
14594,Cape Bulbul,23,23,"The Cape bulbul (Cape Bulbul) is a member of the bulbul family of passerine birds. It is an endemic resident breeder in coastal bush, open forest, gardens and fynbos in western and southern South Africa. This species nests mainly in the southern spring from September to November. The nest is thick walled cup concealed by foliage in a small tree or shrub.",/kaggle/input/ugbirds/birdsuganda/image/Cape_Bulbul
5198,Jackal Buzzard,33,33,"The jackal buzzard (Jackal Buzzard) is a 45–55 cm long African bird of prey. The taxonomy on this species is confusing, with some taxonomists considering this species, the Archer's buzzard, and the augur buzzard to be the same superspecies. Many taxonomists consider them all to be distinct, having different calls, different home ranges and variations in plumage. This is a species that lives among mountains, and on adjacent savanna and grassland. It is resident and non-migratory throughout...",/kaggle/input/ugbirds/birdsuganda/image/Jackal_Buzzard
4877,Crowned Lapwing,31,31,"The crowned lapwing (Crowned Lapwing), or crowned plover, is a bird of the lapwing subfamily that occurs contiguously from the Red Sea coast of Somalia to southern and southwestern Africa. It is an adaptable and numerous species, with bold and noisy habits. It is related to the more localized black-winged and Senegal lapwings, with which it shares some plumage characteristics.",/kaggle/input/ugbirds/birdsuganda/image/Crowned_Lapwing
144651,Malachite Kingfisher,24,24,The malachite kingfisher (Malachite Kingfisher) is a river kingfisher which is widely distributed in Africa south of the Sahara. It is largely resident except for seasonal climate-related movements.,/kaggle/input/ugbirds/birdsuganda/image/Malachite_Kingfisher
144509,Hartlaubs Gull,23,23,"The Hartlaub's gull or king gull, (Hartlaub's Gull) is a small gull, which is a non-migratory breeding resident endemic to the Atlantic Ocean coastline of South Africa and Namibia. Although it is predominantly coastal or estuarine, it is not a pelagic species, and is rarely seen at sea far from land. It was formerly sometimes considered to be a subspecies of the silver gull (C. novaehollandiae), and, as is the case with many gulls, it has...",/kaggle/input/ugbirds/birdsuganda/image/Hartlaubs_Gull
4237,Little Grebe,30,30,"The little grebe (Little Grebe), also known as dabchick, is a member of the grebe family of water birds. The genus name is from Ancient Greek takhus ""fast"" and bapto ""to sink under"". The specific ruficollis is from Latin rufus ""red"" and Modern Latin -collis, ""-necked"", itself derived from Latin collum ""neck"".",/kaggle/input/ugbirds/birdsuganda/image/Little_Grebe
13701,African Pied Wagtail,30,30,"The African pied wagtail, or African wagtail, (African Pied Wagtail) is a species of bird in the family Motacillidae.",/kaggle/input/ugbirds/birdsuganda/image/African_Pied_Wagtail
343746,Cape Spurfowl,29,29,"The Cape spurfowl, or Cape francolin (Cape Spurfowl) is a gamebird in the pheasant family Phasianidae. This francolin is endemic to the southwestern Cape of South Africa.",/kaggle/input/ugbirds/birdsuganda/image/Cape_Spurfowl
6898,White-faced Whistling-Duck,29,29,The white-faced whistling duck (White-faced Whistling-Duck) is a whistling duck that breeds in sub-Saharan Africa and much of South America.,/kaggle/input/ugbirds/birdsuganda/image/White-faced_Whistling-Duck
367700,Bronze Mannikin,24,24,"The bronze mannikin or bronze munia (Lonchura cucullata) is a small passerine (i.e. perching) bird of the Afrotropics. This very social estrildid finch is an uncommon to locally abundant bird in much of Africa south of the Sahara Desert, where it is resident, nomadic or irruptive in mesic savanna or forest margin habitats. It has an estimated global extent of occurrence of 8,100,000 km². It is the smallest and most widespread of four munia species on the...",/kaggle/input/ugbirds/birdsuganda/image/Bronze_Mannikin
1580335,Three-banded Plover,26,26,"The three-banded plover, or three-banded sandplover (Charadrius tricollaris), is a small wader. This plover is resident and generally sedentary in much of East Africa, southern Africa and Madagascar. It occurs mainly on inland rivers, pools, lakes and pans, frequenting their exposed shores. This species is often seen as single individuals, but it will form small flocks. It hunts by sight for insects, worms and other invertebrates. Three-banded plovers have a sharp whistled weeet-weet call. Its l",/kaggle/input/ugbirds/birdsuganda/image/Three-banded_Plover
13442,Cape Sugarbird,28,28,The Cape sugarbird (Cape Sugarbird) is one of the six bird species endemic to the Fynbos biome of the Western Cape and Eastern Cape provinces of South Africa.,/kaggle/input/ugbirds/birdsuganda/image/Cape_Sugarbird
115,Kori Bustard,28,28,"The kori bustard (Kori Bustard) is the largest flying bird native to Africa. It is a member of the bustard family, which all belong to the order Otidiformes and are restricted in distribution to the Old World. It is one of the four species (ranging from Africa to India to Australia) in the large-bodied Ardeotis genus. In fact, the male kori bustard may be the heaviest living animal capable of flight.",/kaggle/input/ugbirds/birdsuganda/image/Kori_Bustard
5231,Bateleur,24,24,"The Bateleur (Bateleur) is a medium-sized eagle in the family Accipitridae. Its closest relatives are the snake eagles. It is the only member of the genus Terathopius and may be the origin of the ""Zimbabwe Bird"", the national emblem of Zimbabwe. It is endemic to Africa and small parts of Arabia. ""Bateleur"" is French for ""street performer"".",/kaggle/input/ugbirds/birdsuganda/image/Bateleur
117214,Secretarybird,32,32,"The secretarybird or secretary bird (Secretarybird) is a large, mostly terrestrial bird of prey. Endemic to Africa, it is usually found in the open grasslands and savanna of the sub-Saharan region. John Frederick Miller described the species in 1779. Although a member of the order Accipitriformes, which also includes many other diurnal birds of prey such as kites, hawks, vultures, and harriers, it is placed in its own family, Sagittariidae.",/kaggle/input/ugbirds/birdsuganda/image/Secretarybird
14115,White-browed Sparrow-Weaver,26,26,"The white-browed sparrow-weaver (White-browed Sparrow-Weaver) is a predominantly brown, sparrow-sized bird found throughout central and north-central southern Africa. It is found in groups of two to eleven individuals consisting of one breeding pair and nonreproductive individuals.",/kaggle/input/ugbirds/birdsuganda/image/White-browed_Sparrow-Weaver
